rank,tier,zip,state,owner,units,fhfa_a1
3276,B,61350,IL,7145,10853,7.78
3277,B,37135,TN,7144,7818,-9.22
3278,B,91780,CA,7144,11953,7.43
3279,B,58801,ND,7142,17095,5.39
3280,B,77586,TX,7140,10419,-3.39
3281,B,07871,NJ,7140,8367,9.33
3282,B,80226,CO,7138,14742,-0.22
3283,B,98002,WA,7138,15279,1.43
3284,B,08861,NJ,7136,21032,11.41
3285,B,31322,GA,7134,12647,3.57
3286,B,95961,CA,7132,10417,0.67
3287,B,92270,CA,7130,14936,-5.4
3288,B,64151,MO,7130,12452,4.92
3289,B,17110,PA,7129,12246,5.1
3290,B,22182,VA,7129,10285,12.2
3291,B,92337,CA,7129,9730,4.69
3292,B,33028,FL,7128,9297,15.52
3293,B,98075,WA,7127,8303,-5.54
3294,B,48507,MI,7127,13923,5.23
3295,B,99203,WA,7126,9742,3.6
3296,B,29020,SC,7123,11324,3.53
3297,B,29617,SC,7122,11599,1.08
3298,B,42503,KY,7121,11588,-3.62
3299,B,85009,AZ,7121,14873,-1.13
3300,B,49509,MI,7120,10611,5.19
3301,B,40403,KY,7118,11008,4.44
3302,B,08060,NJ,7117,10198,2.37
3303,B,95003,CA,7112,11728,0.69
3304,B,78210,TX,7111,14410,0.26
3305,B,37615,TN,7110,9946,2.38
3306,B,85053,AZ,7109,12003,-1.15
3307,B,18411,PA,7108,9375,3.9
3308,B,33441,FL,7101,15225,0.04
3309,B,35160,AL,7099,13147,0.92
3310,B,79761,TX,7098,13591,4.61
3311,B,77545,TX,7097,9018,-12.11
3312,B,30224,GA,7096,11457,0.89
3313,B,22551,VA,7095,8709,-8.02
3314,B,95340,CA,7095,13553,1.15
3315,B,74105,OK,7094,14531,2.8
3316,B,95377,CA,7094,9907,-5.25
3317,B,60914,IL,7093,10763,3.17
3318,B,85210,AZ,7092,16292,-0.09
3319,B,06488,CT,7090,8826,3.19
3320,B,92629,CA,7089,13493,-1.72
3321,B,60099,IL,7087,12085,10.34
3322,B,36303,AL,7086,14622,6.8
3323,B,84116,UT,7082,14487,1.04
3324,B,34134,FL,7081,15051,-8.93
3325,B,85085,AZ,7081,12737,5.56
3326,B,11435,NY,7080,21180,4.75
3327,B,84109,UT,7080,9829,3.0
3328,B,18301,PA,7079,11125,7.31
3329,B,84044,UT,7079,9057,1.65
3330,B,48375,MI,7077,10223,3.59
3331,B,97520,OR,7076,13964,-3.2
